AI模型,总场次,总胜场,总胜率,狼人场次,狼人胜场,狼人胜率,好人场次,好人胜场,好人胜率,存活率,角色识别准确率,欺骗成功率,投票准确率,沟通效果,能力使用准确率
claude35,1,0,0.0,1,0,0.0,0,0,0,1.0,1.0,1.0,0.46153846153846156,1.0,1.0
deepseekv3,1,0,0.0,1,0,0.0,0,0,0,0.0,1.0,1.0,0.46153846153846156,1.0,1.0
Qwen25,1,0,0.0,0,0,0,1,0,0.0,0.0,1.0,1.0,0.46153846153846156,1.0,1.0
qwen-max-latest,1,0,0.0,0,0,0,1,0,0.0,0.0,1.0,1.0,0.46153846153846156,1.0,1.0
Doubao-pro-128k,1,0,0.0,0,0,0,1,0,0.0,0.0,1.0,1.0,0.46153846153846156,1.0,1.0
o3-mini,1,0,0.0,0,0,0,1,0,0.0,0.0,1.0,1.0,0.46153846153846156,1.0,1.0
gemini-flash,1,0,0.0,0,0,0,1,0,0.0,0.0,1.0,1.0,0.46153846153846156,1.0,1.0
gemini-pro,1,0,0.0,0,0,0,1,0,0.0,1.0,1.0,1.0,0.46153846153846156,1.0,1.0
